E(level),E_gamma,Final_level
0.0,,
3352.62,E0,0.0
3736.69,3736.5,0.0
3904.38,551.8,3352.62
4491.43,754.8,3736.69
5211.56,1307.7,3904.38
5248.79,1344.4,3904.38
5278.8,787.4,4491.43
5613.52,1122.7,4491.43
5629.41,2277.0,3352.62
5902.63,5902.0,0.0
6025.47,2121.0,3904.38
6029.71,750.9,5278.8
6160.0,,
6285.15,671.6,5613.52
6322.72,1093.4,5211.56
6467.43,1222.4,5248.79
6718.14,1404.0,5314.17
6801.1,1720.6,5080.6
6879.34,1596.4,5282.9
6998.11,1367.8,5630.3
7213.8,1682.5,5531.3
7396.15,1621.0,5775.1
7517.95,1329.2,6188.8
7740.9,1421.8,6319.1
7922.14,1167.6,6754.5
8055.11,1536.7,6518.4
8234.5,1582.5,6652.0
8357.9,1267.2,7089.7
8472.1,1248.8,7223.3
8645.1,1319.1,7326.0
8744.5,1109.4,7635.1
8879.9,1115.5,7764.4
8935.6,1142.2,7793.4
